,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
0,BCC.N,Industrials,8.8,10.869870202330501,16.1,13.7190480955219,,39.815136622
1,ASPS.OQ,Real Estate,,5.10088753865553,,7.60788995741197,,108.013131976
2,CIT.N,Financials,,6.142023565548429,6.973669999999999,10.45380247101,,
3,MSCI.N,Financials,44.76667,6.34471322677716,-172.69,6.80276029628414,13.2,
4,FIS.N,Information Technology,7.6,5.15721292684797,7.37288,6.40047952005875,12.8055,28.7977324394
5,FMNB.OQ,Financials,,5.80599643400388,10.16667,7.07080390692567,,
6,HSC.N,Industrials,,8.729775300239611,7.7,15.5723270885651,10.0,49.750297492
7,KALV.OQ,Health Care,,15.0788431412664,,12.8431385883704,,0.0
8,DRNA.OQ,Health Care,,7.655211987282049,,7.97269998556494,,0.0
9,NERV.OQ,Health Care,,9.328298020721109,,9.526721732451689,,0.0
10,PLYM.N,Real Estate,,6.40928489550129,13.4,8.828206946305091,,62.017248078
11,EEX.N,Communication Services,,5.07842678097815,9.845,13.4676668775896,,45.542701599
12,JBSS.OQ,Consumer Staples,,2.3828053280079304,,2.39636153684663,,17.077500331
13,AMC.N,Communication Services,,4.42337373778358,27.0205,8.74587912925552,,79.988463123
14,AVYA.N,Information Technology,25.8,5.4078495113213805,-70.91,8.96690347731991,,88.85827976739999
15,COLB.OQ,Financials,,6.60953950212612,6.40525,6.95229806737971,,
16,ALRM.OQ,Information Technology,,8.21736202994882,,8.550210785856349,,14.655900396
17,ATLO.OQ,Financials,,4.89172980363673,,5.699567484399309,,
18,SAM.N,Consumer Staples,23.0,5.92534000443464,26.12375,5.9735272219954005,46.6855,0.35057109999999997
19,ACCD.OQ,Health Care,,10.0020379204562,-8.3945,10.212181402024198,26.1,
20,IRTC.OQ,Health Care,,11.4106737483689,-7.475,11.6701358707435,,20.50756713
21,IIN.OQ,Health Care,,8.73236775251099,,8.843188638668,,0.144554914
22,EXC.OQ,Utilities,5.1,3.0180129551907005,8.4365,4.0611099986100605,3.7353300000000003,52.228762505
23,SYX.N,Industrials,,4.30821672209842,,4.30708981818506,,0.0
24,AAOI.OQ,Information Technology,,8.21705520858128,-5.3,12.1696559935147,,32.759310878
25,EXTN.N,Energy,-1.1,4.98848118840643,-13.9,7.75817278214234,,51.995545787
26,EFX.N,Industrials,26.33333,7.789992466470309,20.74322,9.2635044923419,9.506,56.325035383999996
27,ORIC.OQ,Health Care,,7.34680440551645,-31.7,7.50383750913536,,0.0
28,CVET.OQ,Health Care,,9.126938669083222,8.189,12.7124951320865,,48.389726865
29,CXW.N,Industrials,,5.4825133416831795,,9.518502081718381,,58.931921949
30,TRN.N,Industrials,,5.047650162605589,5.05,10.43860021564,,67.236392684
31,NTST.N,Real Estate,,4.57185312142492,,5.0811436982506395,29.9,40.791612427
32,KNL.N,Industrials,,8.25406286790129,,13.184207501429901,,51.053113553
33,MGTX.OQ,Health Care,,9.9728690985068,,10.1637669813395,,0.0
34,GALT.OQ,Health Care,,13.4648861961745,,13.7272472400117,,0.0
35,AXTI.OQ,Information Technology,,14.8205247644433,,15.620686626698301,,2.895082843
36,ROL.N,Industrials,,4.01246980405249,,4.07146489292257,,17.7391729875
37,CNNE.N,Financials,,5.1531099900465795,,5.35748698535369,,7.670951777000001
38,AOS.N,Industrials,,7.46974873645905,23.09,7.6517533477489295,,5.771093550900001
39,EEFT.OQ,Information Technology,,9.088362294300302,16.8,11.6551968453211,,
40,DKS.N,Consumer Discretionary,13.4,10.806580184279301,20.31189,11.7831520464907,13.036669999999999,11.45882442
41,IAC.OQ,Communication Services,4.5,8.56206113180727,1.22617,9.001739735425689,,8.798760548999999
42,CVX.N,Energy,-1.8,7.53944219675342,6.991289999999999,9.34738482502892,-4.1755,
43,PACK.N,Materials,,4.7948442707179,,5.708257202177321,,44.150388574
44,ENS.N,Industrials,4.1,8.237884850630321,5.3,10.2961413147406,,46.900980738
45,BANF.OQ,Financials,,9.79828295689597,10.8,9.958819118434631,,
46,GAN.OQ,Consumer Discretionary,,8.88216710507047,2.4115,8.63812109880453,,7.5142384714
47,AGCO.N,Industrials,11.85,7.6300817398698,15.820379999999998,9.04638270768146,15.612,34.8783013982
48,DK.N,Energy,-3.0,6.15898337454111,-13.544,13.802591291382802,-16.4,52.9699672
49,HPE.N,Information Technology,6.7,4.82769141236291,12.085999999999999,9.62676250676473,3.11767,49.7580922059
50,PNC.N,Financials,,6.76771995141909,10.327,9.49480843285132,,
51,PFBC.OQ,Financials,,9.18398128550766,13.462,10.3081340722176,,
52,XPEL.OQ,Consumer Discretionary,,8.55681549598737,,8.78169335295577,,2.157743436
53,KRNY.OQ,Financials,,5.7527133729317,5.275,5.844004329901201,,
54,SUI.N,Real Estate,,4.36890530219186,,4.52238602699754,,46.513511982
55,TSLA.OQ,Consumer Discretionary,35.8,13.309581302355099,20.104779999999998,13.7834564076323,316.57567,33.1441639844
56,CDAY.N,Information Technology,2.4,8.884564453062278,3.7960000000000003,9.28007898500545,11.440999999999999,24.1431670282
57,CLBK.OQ,Financials,,4.02597683116636,6.49,4.75815569822038,,
58,CBB.N,Communication Services,,3.31774073629786,5.17,3.8427023249897,,107.84929356399999
59,FCAP.OQ,Financials,,2.2758111528190494,,2.26502884896052,,
60,WRE.N,Real Estate,,5.27772363122663,-0.2,7.262561309958969,,43.784162958
61,CDNS.OQ,Information Technology,16.3,7.3400560620252,24.803,7.61232579479142,14.7,14.129493370999999
62,KEY.N,Financials,,6.58662628165581,10.34,10.5931844106215,,
63,RYAM.N,Materials,,6.67605199764351,,24.8207137410074,,61.313267696000004
64,SILK.OQ,Health Care,,9.27994852561026,-22.1,9.61587314744101,,38.433673033000005
65,INOV.OQ,Health Care,,4.83020351476795,16.54,4.84020007729935,21.0,
66,NRIM.OQ,Financials,,5.671258785777099,,5.918741388186669,,
67,LIND.OQ,Consumer Discretionary,,9.425696116437381,,17.2370165403057,25.0,61.00998797
68,SELB.OQ,Health Care,,7.647533908729759,,8.3085220704153,,69.24401142800001
69,LULU.OQ,Consumer Discretionary,35.3,8.37159769317721,33.658,8.19598818899834,18.06,0.0
70,CDNA.OQ,Health Care,,5.43927927429429,,5.58795202355291,,0.0
71,MAS.N,Industrials,30.25,7.90203834425969,367.38333,9.396656493488669,10.25,86.9092039801
72,OPI.OQ,Real Estate,,4.1755861367477,-1.42,9.28888239761892,,57.843625239
73,UMBF.OQ,Financials,,4.5434375223630195,7.82333,7.648302760076951,-6.0,
74,MSGE.N,Communication Services,-2.0,5.473258761820031,-2.6452,5.6409373116513,,1.153887816
75,UVE.N,Financials,,7.286837371812741,17.93,7.5039926542815305,,16.883586770999997
76,MIK.OQ,Consumer Discretionary,,8.55981444774896,-36.187,20.770434139829604,2.2725,218.28184898799998
77,PD.N,Information Technology,-1.0,3.79411493515032,-4.77,4.04086561814195,,0.0
78,CHCT.N,Real Estate,,3.5821578900442703,,3.90403204394773,,35.468197073
79,SHEN.OQ,Communication Services,,3.0685641897724905,,3.85084965609257,,60.437572699200004
80,EAR.OQ,Health Care,,,-19.9,,-55.7,134.2180698588
81,CTSH.OQ,Information Technology,22.73333,7.94541377631003,17.35577,8.240539813720678,2.34,6.076102972999999
82,MODV.OQ,Health Care,,5.28821646955801,,5.41768898277348,,0.089352385
83,PZN.N,Financials,,9.83429271966035,,9.95393050968517,,0.6510499777000001
84,PRDO.OQ,Consumer Discretionary,,11.1507152680314,,11.3279612642825,15.0,0.0
85,ADNT.N,Consumer Discretionary,11.7,7.38938681156307,22.32771,12.0980249911676,37.7725,73.1860662702
86,YETI.N,Consumer Discretionary,45.1,11.239011008183901,41.446670000000005,12.053110739561902,,70.875258113
87,APH.N,Information Technology,15.5,8.14989140217252,24.3825,8.95780540939188,11.3,41.493174794
88,CINF.OQ,Financials,,4.67822100231332,6.13667,4.97836861561221,-2.7145,8.23332403
89,TGNA.N,Communication Services,,5.0936298437829,17.4,8.70680849377668,,72.435334585
90,ABR.N,Financials,,5.79900921115311,15.9,12.4958940623156,,77.61265144
91,HSY.N,Consumer Staples,25.60333,2.86973972834795,58.7592,3.11373360475456,7.603330000000001,67.28484200300001
92,SVMK.OQ,Information Technology,,8.75851891940622,-6.51133,9.40251989239892,,41.645603865
93,CRBP.OQ,Health Care,,12.9605490640537,,14.091838861792299,,10.891967415999998
94,ALGN.OQ,Health Care,66.16667,11.547339213139901,19.368,11.7108165436214,28.4095,
95,GEO.N,Real Estate,,4.59222358130967,,6.63491776455433,,73.372990339
96,PFC.OQ,Financials,,9.33457402315585,9.6475,10.2293452065654,,
97,TTEK.OQ,Industrials,15.6,6.21753950019621,17.0,6.5553362130840895,15.0,21.9452202806
98,WNC.N,Industrials,,9.996388447360859,,12.7144843859199,,52.547829674300004
99,EGLE.OQ,Industrials,,4.69117224250972,3.0,7.999753985950179,,48.073594418999996
100,RBCAA.OQ,Financials,,4.15414308419954,8.3,5.16516618405442,,
101,EPRT.N,Real Estate,,7.3706908731208,4.612,9.81544303566622,,37.683193929
102,SWX.N,Utilities,,2.0274209615753,8.29,2.1126188100948,4.0,50.934374629
103,CTMX.OQ,Health Care,,5.2281888521471505,,5.3355934540225896,,0.0
104,OI.N,Materials,2.7,5.24249527814741,45.081,11.6758173971754,-2.795,92.7656503698
105,RM.N,Financials,,4.45381417893896,12.35,10.2611602391814,,72.50911118100001
106,VVNT.N,Consumer Discretionary,,7.67751547062366,12.3,7.8542040122897605,-18.73,0.0
107,ONTO.N,Information Technology,11.4,8.56323521822384,11.4,8.77080620813545,,
108,NAT.N,Energy,,4.288423329898681,13.2,4.586812153157849,,40.117768335
109,PLRX.OQ,Health Care,,5.40007153599471,,5.63118521590901,,0.0
110,PRA.N,Financials,,3.03709240019604,1.215,3.1777587640315197,,15.898959468
111,WRK.N,Materials,8.85,5.853265791976839,10.000169999999999,8.838647429117811,23.6225,46.966542825
112,LENb.N,Consumer Discretionary,,8.46563360126242,,10.4977366745471,,29.080316809099997
113,PODD.OQ,Health Care,15.1,4.94134926655539,21.55,5.2057613255092,,92.124922183
114,WPC.N,Real Estate,,4.57532230797787,11.9,5.88318480822787,,46.561213575
115,FLO.N,Consumer Staples,10.35,2.61629212310334,15.433329999999998,2.8490157578814,6.07,41.81150119
116,BCOR.OQ,Financials,,6.38767415300331,,10.734005694153,,37.898319675
117,MSTR.OQ,Information Technology,,10.8942135476866,,11.5109073532664,,46.7924622695
118,LBRDK.OQ,Communication Services,,7.32830324179898,8.9,7.71757150353527,,5.096962963
119,LESL.OQ,Consumer Discretionary,,0.553110453300287,,0.082246564473216,,329.15415138049997
120,DAL.N,Industrials,9.86,6.07532880868296,104.49333,10.1896890291587,-22.244,95.5653883972
121,DD.N,Materials,,8.04830061072934,5.53633,10.854627199721401,-8.99,35.8256270429
122,QRVO.OQ,Information Technology,16.566670000000002,8.97574593937373,17.36143,9.73343361225553,14.0,26.831099602
123,SWCH.N,Information Technology,,4.735040831967,9.3715,5.576990791183451,,56.311693301999995
124,CVI.N,Energy,,7.53352870529914,-9.472999999999999,13.4628452340257,-27.2045,41.73943416
