,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
0,BCC.N,Industrials,8.8,11.1340158366678,16.1,13.8032270384866,,39.815136622
1,ASPS.OQ,Real Estate,,5.18173855008054,,7.678387163394119,,108.013131976
2,CIT.N,Financials,,6.19853467137246,6.973669999999999,10.3578794911476,,
3,MSCI.N,Financials,44.76667,6.539804525146691,-172.69,6.8078660838719,13.2,
4,FIS.N,Information Technology,6.9,5.2776229569324,6.4638599999999995,6.37398948670228,10.74067,28.991500115
5,FMNB.OQ,Financials,,5.916303025284599,10.16667,7.020603161718791,,
6,HSC.N,Industrials,,8.860122955974651,7.7,15.5856530150401,10.0,49.750297492
7,KALV.OQ,Health Care,,12.8533501285619,,12.958568285407901,,0.0
8,DRNA.OQ,Health Care,,7.88229856897435,,7.64728005695544,,0.0
9,NERV.OQ,Health Care,,9.48471970003968,,9.50332032487319,,0.0
10,PLYM.N,Real Estate,,6.52542045216117,13.4,8.863874171564289,,62.017248078
11,EEX.N,Communication Services,,5.15285951436028,9.845,13.4071107128872,,45.542701599
12,JBSS.OQ,Consumer Staples,,2.32146945502552,,2.2381508085582404,,17.077500331
13,AMC.N,Communication Services,,4.54234431551715,27.0205,9.57593545297634,,79.988463123
14,AVYA.N,Information Technology,15.8,5.19406827204704,-20.57333,8.87266743421266,,88.85827976739999
15,COLB.OQ,Financials,,6.67174496530086,6.40525,6.830125554952639,,
16,ALRM.OQ,Information Technology,,8.33727183732404,99.699,8.53970913049257,,14.655900396
17,ATLO.OQ,Financials,,5.02815563842689,,5.68728175561653,,
18,SAM.N,Consumer Staples,23.0,5.8999883173134196,26.44875,5.72655110815517,46.6855,0.35057109999999997
19,ACCD.OQ,Health Care,,10.216210818654,-8.3945,10.340387250048801,26.1,
20,IRTC.OQ,Health Care,,11.6840749281689,-7.475,11.805430668323,,20.50756713
21,IIN.OQ,Health Care,,8.81899753086368,,8.76159596898178,,0.144554914
22,EXC.OQ,Utilities,5.1,3.01481652206231,8.4365,3.99855156613777,3.7353300000000003,52.228762505
23,SYX.N,Industrials,,4.35184279939901,,4.21974359875364,,0.0
24,AAOI.OQ,Information Technology,,8.266913067815631,-5.3,12.0873018749738,,32.759310878
25,EXTN.N,Energy,-1.1,5.04381218483321,-13.9,7.6885008108157,,51.995545787
26,EFX.N,Industrials,26.33333,7.95768030976665,20.74322,9.34916939258623,9.501,56.325035383999996
27,ORIC.OQ,Health Care,,7.54074697876136,-31.7,7.14542409121092,,0.0
28,CVET.OQ,Health Care,,9.316757694943721,8.189,12.6842770409765,,48.389726865
29,CXW.N,Industrials,,5.5163810258013894,,9.436340837936289,,58.931921949
30,TRN.N,Industrials,,5.13482991024084,5.05,10.3430722570765,,67.236392684
31,NTST.N,Real Estate,,4.7146267648752005,,6.137651858934441,29.9,40.791612427
32,KNL.N,Industrials,,8.39525177049724,,13.153010133775899,,51.053113553
33,MGTX.OQ,Health Care,,10.187563372831699,,10.1904575322454,,0.0
34,GALT.OQ,Health Care,,13.533154988176598,,13.562188742683402,,0.0
35,AXTI.OQ,Information Technology,,15.0846627722124,,15.535646188270599,,2.895082843
36,ROL.N,Industrials,,4.07371058077441,,4.05595135451206,,17.7391729875
37,CNNE.N,Financials,,5.306529721172231,,5.32902547191767,,7.670951777000001
38,AOS.N,Industrials,,7.555825032460869,23.09,7.53454263193931,,5.771093550900001
39,EEFT.OQ,Information Technology,,8.79929566603679,16.8,11.628351594818001,,57.261438411
40,DKS.N,Consumer Discretionary,13.4,10.9900834307827,20.31189,11.707102156865199,13.036669999999999,11.45882442
41,IAC.OQ,Communication Services,-0.5,8.72661379981379,1.0914,8.87526090539757,,8.798760548999999
42,CVX.N,Energy,-1.8,7.68475577366217,6.991289999999999,9.346164239103759,-1.45033,
43,PACK.N,Materials,,4.876216497995969,,5.63425005937109,,44.150388574
44,ENS.N,Industrials,4.1,8.326149881143019,5.3,10.2168049295413,,46.900980738
45,BANF.OQ,Financials,,9.93267451461792,10.8,9.908592344254151,,
46,GAN.OQ,Consumer Discretionary,,8.57432458833273,2.4115,8.24033418420766,,7.5142384714
47,AGCO.N,Industrials,12.2,7.87735932386702,15.594710000000001,9.023318763967142,15.612,34.8783013982
48,DK.N,Energy,-3.0,6.2472259579250595,-13.544,13.7965471919528,-16.4,52.9699672
49,HPE.N,Information Technology,6.7,4.889369963373509,12.085999999999999,9.58626779628302,3.11767,49.7580922059
50,PNC.N,Financials,,6.9019473255532695,10.327,9.45875857177552,,
51,PFBC.OQ,Financials,,9.34165577293872,13.462,10.2962565909749,,
52,XPEL.OQ,Consumer Discretionary,,8.73400118648879,,8.69458374213688,,2.157743436
53,KRNY.OQ,Financials,,4.11156608414316,5.275,5.79788166560575,,
54,SUI.N,Real Estate,,4.1712088195557095,,4.5293965736934405,,46.513511982
55,TSLA.OQ,Consumer Discretionary,22.933329999999998,13.6491759720293,20.84936,13.964806524622901,316.57567,33.1441639844
56,CDAY.N,Information Technology,1.8,8.881571547109711,3.3143300000000004,9.27411634635413,11.440999999999999,26.455419239
57,CLBK.OQ,Financials,,4.1015056104281005,6.49,4.75902475493126,,
58,CBB.N,Communication Services,,3.3764224285938704,5.17,3.85300755774009,,107.84929356399999
59,FCAP.OQ,Financials,,2.19017266561925,,2.11551960877549,,
60,WRE.N,Real Estate,,5.36883624091468,-0.2,7.2346685161038895,,43.784162958
61,CDNS.OQ,Information Technology,16.3,7.45336658826688,24.803,7.635036663080619,14.7,14.129493370999999
