,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
0,BCC.N,Industrials,8.8,10.9153258388438,16.1,13.3798108368194,,39.815136622
1,ASPS.OQ,Real Estate,,5.12117390228258,,7.5819083828239,,108.013131976
2,CIT.N,Financials,,6.17865708344583,6.973669999999999,10.3177783811841,,
3,MSCI.N,Financials,44.76667,6.36289997419873,-172.69,6.6451753245810306,13.2,
4,FIS.N,Information Technology,7.6,5.167984683141889,7.51663,6.28127660899075,13.9655,28.7977324394
5,FMNB.OQ,Financials,,5.79051402356043,10.16667,6.91587609953205,,
6,HSC.N,Industrials,,8.75397611452347,7.7,15.271383416227401,10.0,49.750297492
7,KALV.OQ,Health Care,,15.6776952846603,,15.0794819148932,,0.0
8,DRNA.OQ,Health Care,,7.62377718981374,,7.6555101490751305,,0.0
9,NERV.OQ,Health Care,,9.258406307534118,,9.32867294722542,,0.0
10,PLYM.N,Real Estate,,6.44108998825588,13.4,8.61697659587738,,62.017248078
11,EEX.N,Communication Services,,5.113741883979389,9.845,13.2922509633025,,45.542701599
12,JBSS.OQ,Consumer Staples,,2.39543642576686,,2.42875300400916,,17.077500331
13,AMC.N,Communication Services,,4.442236253095389,27.0205,8.19036322933194,,79.988463123
14,AVYA.N,Information Technology,25.8,5.455160936785459,141.72333,8.83823875490207,,88.85827976739999
15,COLB.OQ,Financials,,6.60371835905105,6.40525,6.8330288174731395,,
16,ALRM.OQ,Information Technology,,8.17587823765967,,8.47506736932732,,14.655900396
17,ATLO.OQ,Financials,,4.87397884802829,,5.59483453553421,,
18,SAM.N,Consumer Staples,23.0,5.8766122146985,26.12375,5.92766433098458,45.9055,0.35057109999999997
19,ACCD.OQ,Health Care,,10.0761089054286,-8.3945,10.0024437595662,26.1,
20,IRTC.OQ,Health Care,,11.4083183454264,-7.475,11.4621180329883,,20.50756713
21,IIN.OQ,Health Care,,8.75296392465782,,8.73531514131758,,0.144554914
22,EXC.OQ,Utilities,5.1,2.97292986985134,8.4365,3.9899828506671,3.7353300000000003,52.228762505
23,SYX.N,Industrials,,4.2369268265484,,4.30836131669897,,0.0
24,AAOI.OQ,Information Technology,,8.17153421034635,-5.3,11.949427465555,,32.759310878
25,EXTN.N,Energy,-1.1,5.007982934461361,-13.9,7.70110206117816,,51.995545787
26,EFX.N,Industrials,26.33333,,20.74322,9.102375323772279,9.506,
27,ORIC.OQ,Health Care,,7.08736871729444,-31.7,7.34708841692009,,0.0
28,CVET.OQ,Health Care,,9.157595953607991,8.189,12.482021114142402,,48.389726865
29,CXW.N,Industrials,,5.37875495734022,,9.44092265582129,,55.8326013462
30,TRN.N,Industrials,,5.0502774148787095,5.05,10.2169965251323,,67.236392684
31,NTST.N,Real Estate,,4.5541613407204595,,4.916339156859781,29.9,40.791612427
32,KNL.N,Industrials,,9.06662953180274,,12.9166795484079,,33.5753766121
33,MGTX.OQ,Health Care,,10.0043465781178,,9.97327359928982,,0.0
34,GALT.OQ,Health Care,,13.610250621786099,,13.570480710007699,,0.0
35,AXTI.OQ,Information Technology,,14.8840021027716,,15.2010679069841,,2.895082843
36,ROL.N,Industrials,,4.00660335886922,,4.0419868712178495,,17.7391729875
37,CNNE.N,Financials,,5.085415753515839,,5.235846405042929,,7.670951777000001
38,AOS.N,Industrials,,7.4776505319987,23.09,7.53049517458709,,5.771093550900001
39,EEFT.OQ,Information Technology,,9.12789386914473,20.7,11.452661050476802,,64.1908960325
40,DKS.N,Consumer Discretionary,13.4,10.855372244955499,20.31189,11.5583776681052,13.036669999999999,11.45882442
41,IAC.OQ,Communication Services,4.5,8.64735040166882,1.22617,8.80545341669702,,8.798760548999999
42,CVX.N,Energy,-1.8,7.597110944211611,6.991289999999999,9.151748834325181,-4.1755,
43,PACK.N,Materials,,4.81132326796312,,5.62222116673772,,44.150388574
44,ENS.N,Industrials,4.1,8.46993520464294,5.3,10.1464426139258,,46.900980738
45,BANF.OQ,Financials,,9.807763461020789,10.8,9.79867944729909,,
46,GAN.OQ,Consumer Discretionary,,8.87725463938153,2.4115,8.87713434881924,,7.5142384714
47,AGCO.N,Industrials,11.85,7.6213924598147305,16.022879999999997,8.87237087119289,15.612,34.8783013982
48,DK.N,Energy,-3.0,6.184381274844429,-13.544,13.4541898508916,-16.4,52.9699672
49,HPE.N,Information Technology,6.7,4.86137265215376,12.085999999999999,9.46006653858868,3.11767,49.7580922059
50,PNC.N,Financials,,6.805073235387981,10.327,9.308438496199779,,
51,PFBC.OQ,Financials,,9.20612224951462,13.462,10.0998618635889,,
52,XPEL.OQ,Consumer Discretionary,,8.57867849141622,,8.62686588871448,,2.157743436
53,KRNY.OQ,Financials,,5.746102043538129,5.275,5.75292424408113,,
54,SUI.N,Real Estate,,4.35535622495197,,4.4790894884973,,46.513511982
55,TSLA.OQ,Consumer Discretionary,35.8,13.2430202294097,20.104779999999998,13.496077857688501,316.57567,33.1441639844
56,CDAY.N,Information Technology,2.4,8.89042178431049,4.064,9.114648943328062,11.440999999999999,24.1431670282
57,CLBK.OQ,Financials,,4.01952171727651,6.49,4.68351696877802,,
58,CBB.N,Communication Services,,3.34194315858917,5.17,3.7670462192025798,,107.84929356399999
59,FCAP.OQ,Financials,,2.21620135542644,,2.27586249637123,,
60,WRE.N,Real Estate,,5.30513522127111,-0.2,7.126238554940589,,43.784162958
61,CDNS.OQ,Information Technology,16.3,7.328376794968469,24.803,7.4898674558787794,14.7,14.129493370999999
62,KEY.N,Financials,,6.629863313346901,10.34,10.3979680523974,,
