Clusters,Valuation Score,Fundamental Score,Momentum Score,Short Term Score,Long Term Score
1,57.54194267515935,47.930716560509595,46.905557324840764,48.654506369426805,51.51877388535035
2,31.482200000000017,46.23259999999989,57.64196666666664,52.00629999999996,43.18396666666666
3,47.894993481095135,49.304432855280446,41.25968709256839,43.46159061277704,46.72937418513685
4,44.8568954248366,62.74183006535949,66.56356209150327,62.73418300653596,56.54352941176468
5,65.4628189910979,53.886913946587555,39.9921364985163,45.89715133531157,55.04359050445099
