Instrument,Company Name,Sector,Clusters,Valuation Score,Fundamental Score,Momentum Score,Short Term Score,Long Term Score
BCC.N,BOISE CASCAD LLC,Industrials,1,75.07000000000001,43.32,47.510000000000005,51.01,57.07
HSC.N,HARSCO CORP,Industrials,3,47.760000000000005,39.550000000000004,25.03,30.620000000000005,39.21
SYX.N,SYSTEMAX INC,Industrials,4,50.38,47.89,84.04,73.57000000000001,57.92
EFX.N,EQUIFAX INC,Industrials,5,52.56999999999999,59.38,48.559999999999995,50.79,53.949999999999996
CXW.N,CORECIVIC INC,Industrials,1,79.95,47.89,15.740000000000002,30.19,52.669999999999995
TRN.N,TRINITY INDS INC,Industrials,3,47.370000000000005,41.63,55.78999999999999,52.410000000000004,47.47
KNL.N,KNOLL INC,Industrials,3,60.96,47.89,19.23,29.79,45.95
ROL.N,ROLLINS,Industrials,4,42.78,47.89,70.73,63.11,51.55
AOS.N,A O SMITH,Industrials,1,51.44,59.57,53.459999999999994,54.06999999999999,54.790000000000006
ENS.N,ENERSYS,Industrials,3,53.81,37.79,46.27,46.129999999999995,46.32
AGCO.N,AGCO CRP,Industrials,4,58.67,61.650000000000006,63.38,62.419999999999995,60.89
MAS.N,MASCO CORP,Industrials,5,56.96,63.99,43.41,48.53,56.03
TTEK.OQ,TETRA TECH INC,Industrials,4,47.25,67.85,63.18,61.49,58.440000000000005
WNC.N,WABASH NATL CORP,Industrials,3,38.73,47.89,41.83,42.27,42.71
AMSC.OQ,AMERICAN SUP ORD,Industrials,3,31.39,47.89,45.11,43.47,40.589999999999996
RLGT.A,RADIANT LOGISTIC,Industrials,1,56.07,47.89,51.05,51.33,51.949999999999996
GATX.N,GATX CORPORATION,Industrials,1,56.18,47.89,49.44,50.21,51.59
REZI.N,RESIDEO TCHNLGS,Industrials,1,53.54,46.64,70.42,64.32,55.35
APT.A,ALPHA PRO TECH,Industrials,1,62.529999999999994,47.89,45.98,48.75,53.269999999999996
POWL.OQ,POWELL INDS,Industrials,1,69.89999999999999,47.89,24.279999999999998,34.660000000000004,50.79
FLS.N,FLOWSERVE CP,Industrials,3,54.86,31.0,25.89,31.009999999999998,39.269999999999996
ALSN.N,ALLISON TRNS HLD,Industrials,1,60.85,38.690000000000005,35.33,39.660000000000004,46.71
GGG.N,GRACO,Industrials,4,47.39,64.86,59.38,58.41,56.49999999999999
UPS.N,UNITED PARCEL B,Industrials,1,48.72,68.01,59.440000000000005,59.12,58.15
CBZ.N,CBIZ,Industrials,3,58.03,47.89,44.16,46.800000000000004,51.01
DSKE.OQ,DASEKE INC,Industrials,1,62.370000000000005,47.89,54.120000000000005,54.42,55.24
BWXT.N,BWX TECHNOLOGIES,Industrials,3,52.190000000000005,45.83,36.620000000000005,40.339999999999996,46.07
ST.N,SENSATA TECHNLGY,Industrials,1,50.480000000000004,52.239999999999995,37.97,41.99,47.97
XYL.N,XYLEM INC,Industrials,4,46.339999999999996,88.24,50.839999999999996,55.769999999999996,62.129999999999995
ARRY.OQ,ARRAY TCHNLG ORD,Industrials,3,49.669999999999995,52.73,48.809999999999995,49.53,50.529999999999994
CFX.N,COLFAX CRP,Industrials,1,54.74,24.72,32.74,34.83,38.73
ATSG.OQ,AIR TRNSPORT SVC,Industrials,3,57.989999999999995,48.38,50.79,51.51,52.83
NPO.N,ENPRO INDS INC,Industrials,3,57.65,47.89,41.63,44.97,50.23
GVA.N,GRANITE CONSTR,Industrials,3,33.95,47.89,43.230000000000004,42.53,41.15
DLX.N,DELUXE CORP,Industrials,1,61.3,47.89,29.409999999999997,36.97,48.63
NL.N,N L INDS INC,Industrials,1,67.43,47.69,54.09,55.13,57.18
MTOR.N,MERITOR INC,Industrials,1,68.78,47.89,39.87,45.410000000000004,54.24
HON.N,HONEYWELL INTL,Industrials,1,50.21,54.72,45.75,47.760000000000005,50.68
GENC.OQ,GENCOR INDUSTRS,Industrials,1,65.27,47.89,46.27,49.36,54.44
GPX.N,GP STRATEGIES,Industrials,1,60.040000000000006,47.89,36.22,41.55,49.830000000000005
AQUA.N,EVOQUA WTR TCHNG,Industrials,3,49.58,51.59,43.480000000000004,45.61,48.76
VRSK.OQ,VERISK ANLYTCS,Industrials,3,45.73,54.11,51.54,51.05,50.12
RUSHB.OQ,RUSH ENTRPRS B,Industrials,1,58.989999999999995,47.89,50.71,51.53,53.03
LII.N,LENNOX INTL INC,Industrials,3,47.69,45.019999999999996,49.419999999999995,48.5,47.19
MIC.N,MACQUARIE LLC,Industrials,3,50.09,47.89,36.53,40.27,45.93
KMT.N,KENNAMETAL INC,Industrials,3,49.32,41.199999999999996,34.57,37.769999999999996,42.79
JCI.N,JOHNSN CNTRL INT,Industrials,3,53.13,51.300000000000004,52.239999999999995,52.23,52.27
AME.N,AMETEK,Industrials,3,49.370000000000005,54.47,45.85,47.67,50.28
AIN.N,ALBANY INTL,Industrials,3,57.86,47.89,37.980000000000004,42.449999999999996,49.4
CSGP.OQ,COSTAR GROUP,Industrials,4,40.98,63.480000000000004,59.809999999999995,57.54,53.56999999999999
NPK.N,NATL PRESTO INDS,Industrials,1,65.31,47.89,49.51,51.64,55.26
NOC.N,NORTHROP GRUMMAN,Industrials,1,58.08,50.080000000000005,37.09,42.19,50.029999999999994
IR.N,INGERSOL RND ORD,Industrials,1,42.63,32.14,44.800000000000004,42.58,39.5
JELD.N,JELD WEN HLD INC,Industrials,3,55.22,41.6,33.32,37.84,44.98
GTES.N,GATES INDSTL CRP,Industrials,3,53.42,45.540000000000006,43.56,45.34,48.199999999999996
CIX.A,COMPX INTERNATL,Industrials,1,75.21,47.89,45.25,50.13999999999999,58.15
AMRC.N,AMERSCO CL A,Industrials,3,44.31,39.78,45.11,44.190000000000005,42.93
BLDR.OQ,BUILDERS FIRST,Industrials,3,48.33,43.87,52.99,50.92,47.93
MLR.N,MILLER INDS,Industrials,1,66.55,47.89,46.48,49.7,55.00000000000001
UBER.N,UBER TCHNLGS INC,Industrials,2,28.04,39.12,74.92999999999999,62.519999999999996,43.64
PWR.N,QUANTA SERVICES,Industrials,1,55.279999999999994,53.09,73.81,67.92,59.150000000000006
KAR.N,KAR AUCTION SER,Industrials,1,59.699999999999996,45.42,30.070000000000004,36.809999999999995,47.29
AIT.N,APPL IND TECH,Industrials,3,50.23,47.89,44.230000000000004,45.68,47.910000000000004
LYTS.OQ,LSI INDS,Industrials,3,51.980000000000004,47.89,56.98,54.86,51.800000000000004
NVT.N,NVENT ELECTRIC,Industrials,1,54.35,28.67,32.879999999999995,35.47,39.989999999999995
ALLE.N,ALLEGION PLC,Industrials,1,48.99,52.38,36.6,40.83,47.08
CSX.OQ,CSX CORPORATION,Industrials,3,53.47,66.88,47.4,51.23,56.64
AL.N,AIR LEASE CRP,Industrials,1,72.92999999999999,31.1,28.68,35.68,47.23
RSG.N,REPUBLIC SVCS,Industrials,3,54.2,44.3,43.28,45.07,48.0
TRU.N,TRANSUNION,Industrials,3,46.83,49.32,40.25,42.6,46.06
TDG.N,TRANSDIGM GROUP,Industrials,3,43.51,53.1,34.9,38.92,44.72
