,Instrument,GICS Sector Name,2 YTD Total Return,6 Month Total Return,52 Week Total Return,Beta
0,BCC.N,Industrials,44.4815553623699,17.0224581718143,36.662641568808205,2.04069435997834
1,ASPS.OQ,Real Estate,-44.9560269039077,21.4611872140644,-45.714285716098395,1.45407439904049
2,CIT.N,Financials,4.98616438273471,121.64995175939501,-0.19600342786291197,1.52947321241799
3,MSCI.N,Financials,63.8942356236645,18.9387412148733,37.3035685407958,0.9163143460986659
4,FIS.N,Information Technology,-3.12542017379057,-8.32202682706381,-8.932918975357868,0.855559693208742
5,FMNB.OQ,Financials,-11.2988667581354,17.4780454447631,-10.4206377174865,0.9615091514513171
6,HSC.N,Industrials,-16.7753150803733,12.9793510318949,21.510152284000696,2.35650156279195
7,KALV.OQ,Health Care,110.33127455140499,218.266779945926,137.238758692489,2.3244626777859803
8,DRNA.OQ,Health Care,17.4761688572636,25.7531584066242,18.1195800975653,1.08499463799025
9,NERV.OQ,Health Care,-52.8832630103616,-6.944444445556081,-59.92822966490029,1.36433727008793
10,PLYM.N,Real Estate,-10.891828274265098,9.505674754874141,-16.221918301621802,1.2455161175619098
11,EEX.N,Communication Services,-54.711466968149004,67.4911660743528,-53.567150293881205,2.02607581505169
12,JBSS.OQ,Consumer Staples,3.87479782259619,0.253025303188226,20.4024323215931,0.21236222000187402
13,AMC.N,Communication Services,-19.358969666628102,29.753914989600396,-14.8919738183903,1.17429094997475
14,AVYA.N,Information Technology,143.777777766305,117.371202109005,146.148092733846,1.2824569065597902
15,COLB.OQ,Financials,10.1023326031624,39.6569033120605,11.727711332865901,0.947677396491155
16,ALRM.OQ,Information Technology,137.09564812009899,73.6196319021539,116.512591643283,1.2218236849383401
17,ATLO.OQ,Financials,-13.529185390050499,18.917377685233603,-10.5985595654234,0.740954864680447
18,SAM.N,Consumer Staples,198.615852858178,42.0324517581846,175.536019540341,0.796522410889592
19,ACCD.OQ,Health Care,76.29629629741541,39.55223880693521,76.29629629741541,1.47682657020741
20,IRTC.OQ,Health Care,159.626964310343,-5.50061474158974,101.988116996948,1.7205262591998702
21,IIN.OQ,Health Care,18.944444439521803,88.1370825989975,22.0638540443972,1.2652733108239298
22,EXC.OQ,Utilities,-1.38454341190982,15.236150649033402,-8.73165517702127,0.473017103768727
23,SYX.N,Industrials,97.3889405807733,99.1076371784062,113.329284579564,0.5261719305452279
24,AAOI.OQ,Information Technology,-1.09427609297005,-14.9782923299884,-5.698234348880121,1.8018849289537702
25,EXTN.N,Energy,-35.7598978304591,-13.869863012353699,9.34782608558578,1.09260642851255
26,EFX.N,Industrials,31.905807430180896,11.655027011927302,19.613265190823,1.3265557859175099
27,ORIC.OQ,Health Care,31.6259216149743,33.806706115188696,31.6259216149743,1.0335021361538699
28,CVET.OQ,Health Care,196.515151504207,65.3569919713132,190.248424162954,1.8908040178788799
29,CXW.N,Industrials,-51.772558130749296,-12.583518932268,-53.080959586409904,1.3830779025512099
30,TRN.N,Industrials,48.46839692387421,52.8605411138154,48.0755821163301,1.51264719347451
31,NTST.N,Real Estate,3.6750606360829403,3.6750606360829403,3.6750606360829403,0.627676775331006
32,KNL.N,Industrials,-32.162413426247504,24.683637314356698,-34.067816973421195,1.9633723484833
33,MGTX.OQ,Health Care,-20.879120882484,12.900926585922,-25.4237288152086,1.47195647068133
34,GALT.OQ,Health Care,-10.139860132366099,-3.0188679238094998,-5.51470587679004,2.0725276187007
35,AXTI.OQ,Information Technology,171.494252852339,141.513292426762,175.934579417534,2.3447620479933597
36,ROL.N,Industrials,73.6525254653336,4.441132945127911,44.7419845728613,0.48169942684952205
37,CNNE.N,Financials,4.81312181257245,2.3634453783399,-4.1318248824657795,0.681020057754234
38,AOS.N,Industrials,31.7978808913429,26.6118410720051,40.98802800928,1.06412278256547
39,EEFT.OQ,Information Technology,-10.4468139083836,41.1141114121209,-4.5008460211637695,1.71894737017044
40,DKS.N,Consumer Discretionary,62.729864478260495,68.5218252629067,78.135390244885,1.7365972714576499
41,IAC.OQ,Communication Services,212.80443394492,94.3627637705485,229.48292830026298,1.27698323557061
42,CVX.N,Energy,-18.9001776561086,6.177854820069831,-12.769193230384701,1.33479893261489
43,PACK.N,Materials,141.840490795709,114.47225245113998,140.073081607157,0.7455271953903649
44,ENS.N,Industrials,27.039279214934503,27.0948473463693,21.9700957599856,1.5008678763136203
45,BANF.OQ,Financials,6.102324163198401,43.600270654978,10.105187314939199,1.44280713146588
46,GAN.OQ,Consumer Discretionary,127.924528300696,52.141057936396706,127.924528300696,1.13895082571463
47,AGCO.N,Industrials,56.453418964723994,70.547074970873,75.4394921606081,1.28815542867269
48,DK.N,Energy,-31.056858033352498,48.815760679538705,-19.3136631729115,2.0531122965872197
49,HPE.N,Information Technology,-8.04743521745262,39.8418596357509,-2.9695490718549706,1.38627406649098
50,PNC.N,Financials,5.29676001983659,48.634586657801506,7.4854447332559,1.3609590304959398
51,PFBC.OQ,Financials,-9.76062486445497,31.8280728009184,-14.020808797741699,1.4930909944593302
52,XPEL.OQ,Consumer Discretionary,295.904436872976,187.841191064801,262.500000017318,1.24716718289384
53,KRNY.OQ,Financials,-18.3102118781376,35.3186374007689,-7.16764423080516,0.7673487071337171
54,SUI.N,Real Estate,1.76593848184439,2.00367831473174,-8.14752034717688,0.554675825645032
55,TSLA.OQ,Consumer Discretionary,861.9439198718719,183.672994635443,424.45620300017,2.06010570218104
56,CDAY.N,Information Technology,34.074837946181695,31.4223826716401,30.349470063434,1.3286049261421597
57,CLBK.OQ,Financials,-5.60802833424615,31.8219290997685,-7.5722543347286795,0.588805983498078
58,CBB.N,Communication Services,45.6542502420192,0.926538717555503,16.8582375510956,0.435796753487729
59,FCAP.OQ,Financials,-25.6013073796657,-10.3116676828481,-18.2678019375093,0.186836409319528
60,WRE.N,Real Estate,-15.0610637294963,2.93777920530842,-21.9364358918126,0.996630182144396
61,CDNS.OQ,Information Technology,98.76009226611929,28.6127437249222,78.8067444859466,1.0573397881714701
62,KEY.N,Financials,-1.21215416633523,53.225782742334395,1.4442414826872,1.54286126637694
63,RYAM.N,Materials,129.16666666790502,163.473053894745,194.31438126930598,3.8605531569538503
64,SILK.OQ,Health Care,48.1178801404321,16.0232783725184,25.6776633743257,1.3814406324736899
65,INOV.OQ,Health Care,48.990435699341,11.535401750668301,28.0365296768329,0.6133241520510239
66,NRIM.OQ,Financials,-2.87744839182474,41.2689213458863,-2.2393238770595296,0.7798293040121609
67,LIND.OQ,Consumer Discretionary,12.9051987677014,116.159250584087,18.106206009768396,2.62807708068982
68,SELB.OQ,Health Care,97.68907562586071,73.6162361624287,16.1728395028852,1.15471121403849
69,LULU.OQ,Consumer Discretionary,47.360469647075796,-0.8509526005659459,34.43726865904,1.34429613994881
70,CDNA.OQ,Health Care,319.23968471556196,189.56131923849603,260.71001193881403,0.7150169654583859
71,MAS.N,Industrials,16.7998971315687,-4.75583039876849,18.769971161693803,1.33605417665177
72,OPI.OQ,Real Estate,-12.254408921566,3.712615762217,-19.808415653393602,1.3306138227892799
73,UMBF.OQ,Financials,16.1280143883613,47.61427134791389,16.9458173092695,1.066265871202
74,MSGE.N,Communication Services,14.4955372234523,43.724294423510706,14.4955372234523,0.7296293810366971
75,UVE.N,Financials,-46.1859712867531,-26.043620366764003,-39.580639242527795,1.04152375615438
76,MIK.OQ,Consumer Discretionary,105.562422756702,100.60313630923599,233.93574298764702,3.2127816519809
77,PD.N,Information Technology,136.596836245896,95.13399153975571,150.975056677981,0.47117808226803704
78,CHCT.N,Real Estate,14.343133153647301,-1.5999483077474999,0.610689528784403,0.449994491633948
79,SHEN.OQ,Communication Services,10.495484658121901,-16.873673541390602,-1.2517801415054999,0.451685007742489
80,EAR.OQ,Health Care,123.782660332542,123.782660332542,123.782660332542,
81,CTSH.OQ,Information Technology,24.3003739425875,14.0172989459144,11.034267490083101,1.1512320077653
82,MODV.OQ,Health Care,202.872592093654,95.48478568998699,161.01645551834198,0.6898764768567839
83,PZN.N,Financials,21.815127416309,73.8527128668497,24.265845954807702,1.4510247045827902
84,PRDO.OQ,Consumer Discretionary,-25.5573681362855,-11.848036058520801,-23.0466554259332,1.66861261544925
85,ADNT.N,Consumer Discretionary,74.0705882461589,124.863221885721,30.1548205552082,3.32998460724833
86,YETI.N,Consumer Discretionary,124.266820021658,63.0094043867317,124.654377885026,1.78283485552917
87,APH.N,Information Technology,22.651835549699697,22.012956906627803,28.1951536629498,1.2715150877440702
88,CINF.OQ,Financials,-12.5906858117118,8.37745304858799,-19.192110190738802,0.6218335949023299
89,TGNA.N,Communication Services,6.81165483030384,50.8424966146692,7.780321591555,1.23406294916139
90,ABR.N,Financials,17.6521861148498,35.668288133074704,13.309320181693199,1.84431396607422
91,HSY.N,Consumer Staples,4.28620604741004,5.35569813435048,-2.90139006201866,0.31979936716094204
92,SVMK.OQ,Information Technology,54.8405148291189,27.276908921367603,49.648458623167706,1.34807937898528
93,CRBP.OQ,Health Care,-37.4542124536398,-50.2911208145883,-42.8929765886962,2.17170963243673
94,ALGN.OQ,Health Care,117.09432340582899,99.9900959071756,121.402726516837,1.73483394212654
95,GEO.N,Real Estate,-37.9525789328392,-14.7598140496712,-41.970289192654,0.888174023290925
96,PFC.OQ,Financials,-1.12754514910831,47.974453913459605,7.733342671620799,1.4866898231456
97,TTEK.OQ,Industrials,57.162526061610095,45.1821846935133,40.995214863171896,0.8842705836546899
98,WNC.N,Industrials,17.7068433864894,31.764158846073197,38.996264417887396,1.8791064354021698
99,EGLE.OQ,Industrials,-21.4596273291925,43.9385315879341,-0.472255017709555,1.15444486600204
100,RBCAA.OQ,Financials,-6.93726554886851,30.524967462951498,2.30998290453648,0.67257237787872
101,EPRT.N,Real Estate,-1.42725066955342,33.1539520649451,-13.7966192811286,1.41511278459676
102,SWX.N,Utilities,-16.1586872554021,-14.2406863718028,-18.8918307744547,0.155655697646137
