,Instrument,GICS Sector Name,2 YTD Total Return,6 Month Total Return,52 Week Total Return,Beta
0,BCC.N,Industrials,46.2589078291292,18.9126476673694,42.55170498927671,2.05178150228429
1,ASPS.OQ,Real Estate,-42.1624418031662,20.4741379303154,-42.813299234867294,1.46683011239883
2,CIT.N,Financials,-0.05673672144035401,120.200529433843,-3.79882620638291,1.5082503739752502
3,MSCI.N,Financials,65.09319502738339,17.1439880766937,41.3864102295049,0.9285711420015551
4,FIS.N,Information Technology,-3.07457118917884,-9.27942908473266,-10.1122956820143,0.8542028113695259
5,FMNB.OQ,Financials,-9.105182817745199,22.9252960311011,-8.88185402961491,0.960907368734348
6,HSC.N,Industrials,-17.7748804867187,20.8173690929514,39.8373983745838,2.34160437720321
7,KALV.OQ,Health Care,-12.3526108983601,34.5689655154289,-0.382897262945026,1.9087386738766998
8,DRNA.OQ,Health Care,27.6895142950087,33.761293391244,29.5716259748944,1.09657723298612
9,NERV.OQ,Health Care,-50.351617440769,-1.6713091934078799,-59.07246376797671,1.35837790817918
10,PLYM.N,Real Estate,-9.833117323068098,13.108591328476301,-10.658999331199599,1.25685728952242
11,EEX.N,Communication Services,-55.571375823184205,62.5874125840456,-55.1462215258638,2.0086472495657097
12,JBSS.OQ,Consumer Staples,1.1619478410555701,-0.5490811289127651,18.8425044908383,0.19518137167186103
13,AMC.N,Communication Services,-14.075591817200198,30.105263158828603,-8.38104341155608,1.2786011861358302
14,AVYA.N,Information Technology,91.3333333243281,89.09224011363459,100.855365464438,1.27181417932153
15,COLB.OQ,Financials,10.6204493665965,43.89519947340921,12.3386032613725,0.9354255703894009
16,ALRM.OQ,Information Technology,135.862229455948,68.2157676345205,115.043496707024,1.21376278293055
17,ATLO.OQ,Financials,-13.0383030363695,19.531870685272104,-10.4240366176019,0.7476474161458639
18,SAM.N,Consumer Staples,204.71880376475602,39.4276995378196,207.970898202285,0.773051824663995
19,ACCD.OQ,Health Care,83.6363636375294,47.4054054058355,83.6363636375294,1.4778876082438799
20,IRTC.OQ,Health Care,164.31194007768102,-10.9368040767641,106.363949084415,1.72625940221948
21,IIN.OQ,Health Care,16.9444444396047,80.5317324159833,21.1859527880329,1.25004283496559
22,EXC.OQ,Utilities,-0.42843787712217896,14.500351969760802,-6.0346198027260005,0.473396859972034
23,SYX.N,Industrials,98.9760329125738,98.82476526741209,112.218609075047,0.5197777348419771
24,AAOI.OQ,Information Technology,3.8720538734256,-21.8987341775835,9.2035398242339,1.7865389182687899
25,EXTN.N,Energy,-38.058748405114706,-14.1592920343959,-3.96039604057551,1.07222926967977
26,EFX.N,Industrials,29.318147054910998,8.1705569944533,17.1151678229496,1.3274107793686298
27,ORIC.OQ,Health Care,31.936360109349298,32.3472168168764,31.936360109349298,1.04077515000212
28,CVET.OQ,Health Care,183.712121201649,63.180827885145796,188.07692306676398,1.89269735000599
29,CXW.N,Industrials,-53.124155227722,-12.7002288345504,-52.73805090560761,1.3507559962711297
30,TRN.N,Industrials,50.027740367059295,61.336317152777006,55.1283045376979,1.51006541335186
31,NTST.N,Real Estate,-0.332258107443295,-0.332258107443295,-0.332258107443295,0.639755909165361
32,KNL.N,Industrials,-32.568626519503496,26.3671665258221,-34.613570283393,1.9554216300494298
33,MGTX.OQ,Health Care,-20.129870133264998,15.869565217806802,-21.5407262039368,1.4732072401974
34,GALT.OQ,Health Care,-16.0839160769177,-12.0879120868955,-5.5118110184184,2.0371275276685803
35,AXTI.OQ,Information Technology,183.908045954817,146.99999999307,201.21951217238097,2.33629668549119
36,ROL.N,Industrials,70.0889222494205,2.14867190405681,44.2818667339975,0.47922887210321796
37,CNNE.N,Financials,9.65313256841216,7.34403790540326,2.02651989758553,0.6887809282612211
38,AOS.N,Industrials,32.142337946923,26.6832007455053,45.5971988557385,1.05321166456476
39,EEFT.OQ,Information Technology,-12.5222137561482,36.9126850114391,-12.727157599626901,1.70904061475912
40,DKS.N,Consumer Discretionary,62.3947708062333,71.22251411705341,83.70096473458,1.7290598727201998
41,IAC.OQ,Communication Services,208.390794522635,89.0567455859289,225.040113503485,1.2751121349094099
42,CVX.N,Energy,-19.8118055769652,8.52815529769766,-11.9821540236006,1.33284637889503
43,PACK.N,Materials,145.39877300427,122.222222224909,145.700245699082,0.7430396948950441
44,ENS.N,Industrials,26.187664553246798,28.649959983442802,31.4030467354847,1.4836006326459301
45,BANF.OQ,Financials,5.7386203408873495,44.6718769305324,9.636656494271632,1.43156395811263
46,GAN.OQ,Consumer Discretionary,129.735849055404,50.02464268281079,129.735849055404,1.09441698757896
47,AGCO.N,Industrials,59.2771103497828,78.0219828479908,84.2491280983802,1.2848636273024
48,DK.N,Energy,-29.9815980210286,50.4314356440639,-18.340277623875398,2.0561852227234096
49,HPE.N,Information Technology,-11.0773907905164,36.8422217442244,-4.515058764073291,1.37740833427966
50,PNC.N,Financials,4.42865856942021,47.355443841753505,7.5346237097816395,1.3596966252409
51,PFBC.OQ,Financials,-9.018553124001961,37.1721483843779,-12.729649852822302,1.48745189142021
52,XPEL.OQ,Consumer Discretionary,287.986348135517,183.34995014771,228.93518520085,1.24735573258174
53,KRNY.OQ,Financials,-18.235335812031398,38.3065066812441,-6.77614957081575,0.7589894303631329
54,SUI.N,Real Estate,0.429514767107997,-0.499575791642859,-7.456135019354349,0.5535789910258989
55,TSLA.OQ,Consumer Discretionary,931.9843186001469,197.17562348989102,459.73187428689903,2.06999242384855
56,CDAY.N,Information Technology,50.2651738326615,44.8657861098081,47.6335214910701,1.32895747347391
