Clusters,Valuation Score,Fundamental Score,Momentum Score,Short Term Score,Long Term Score
0,52.19105820105821,41.69467372134039,38.13338624338625,40.776313932980564,45.00289241622575
1,57.90831826401448,55.45106690777579,46.8007594936709,49.76466546112115,54.271428571428594
2,44.5337398373984,59.34164634146348,54.5608130081301,53.7736991869919,52.223130081300795
3,70.66941860465113,52.49976744186039,39.01728682170545,45.78720930232557,56.397364341085236
4,35.074839400428246,48.68274089935761,56.30126338329758,51.97492505353316,45.14415417558884
