,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
927,BPMC.OQ,Health Care,,5.71428594909352,-37.38,5.67393980778278,,0.0
928,SHO.N,Real Estate,-2.45,7.91821557078218,-8.536,9.903462582986029,,27.347967752
929,VRNT.OQ,Information Technology,,5.70582536893853,25.0,6.73498663848727,14.0,40.536239556
930,ALGT.OQ,Industrials,7.7,8.843711665961289,24.35667,12.0179860450723,-17.2,
931,VRS.N,Materials,,13.840334303177302,,14.001377133773401,,0.7042253520999999
932,NVAX.OQ,Health Care,,10.6879799778479,3.2,11.1895087791411,,238.206012155
933,PHR.N,Health Care,,5.91748806551051,-13.6,5.9986019205776,,18.980505690999998
934,ATH.N,Financials,,8.983608279706392,11.9639,10.493736134136599,9.338,9.39902614
935,III.OQ,Information Technology,,4.25109979432408,2.9,5.55884186269253,8.0,48.92436678
936,EV.N,Financials,36.4,6.6721435671519105,52.36667,8.4253399471299,5.5555,59.596708775799996
937,NEX.N,Energy,,13.891840275021998,-45.2825,22.7503647821964,,28.128685161999996
938,IRWD.OQ,Health Care,,7.907456291982809,114.795,9.690836212544358,,129.627664476
939,SFM.OQ,Consumer Staples,10.03333,2.4494188187165,22.50925,2.49216916742673,13.515670000000002,48.596488904
940,KRON.OQ,Health Care,,,,,,0.0370960788
941,PRAA.OQ,Financials,,5.84347224240833,,10.3149011249232,,70.374055577
942,SPFI.OQ,Financials,,5.17829661074689,8.55,6.06748578647447,,
943,LYB.N,Materials,12.66667,,30.29167,,-4.07,
944,RAPT.OQ,Health Care,,8.091031371519259,-116.54,8.11371630310509,,0.0
945,MEIP.OQ,Health Care,,11.0658499686729,605.3,10.702332678856,,0.0
946,UEIC.OQ,Consumer Discretionary,,8.34100647617639,,9.03063645295404,,19.859871086
947,MBIO.OQ,Health Care,,12.397612409312902,,12.371559515596001,,20.634286505
948,GPS.N,Consumer Discretionary,9.2,8.96015739026931,18.84975,10.9941675061305,-1.595,27.360350493000002
949,BRT.N,Real Estate,,6.5756081423059,,8.82886581474931,,46.041239678000004
950,VIE.OQ,Health Care,,4.44743806446833,-68.06,4.3532407389243994,,0.0
951,ACTG.OQ,Industrials,,7.64929301987163,,5.58442939513513,,0.0
952,PCG.N,Utilities,13.0,4.94273916146362,11.527999999999999,9.691660637442618,2.5,82.047779296
953,CNBKA.OQ,Financials,,4.07155727520085,,6.738694540735151,,
954,INS.A,Information Technology,,8.69987580514289,,8.481983703754869,,0.0
955,SPWH.OQ,Consumer Discretionary,,7.410436856135269,18.26,7.80029504776793,,59.44389275100001
956,CLAR.OQ,Consumer Discretionary,8.05,6.08071675826187,9.13333,6.473089100063679,,11.120267632000001
957,PFE.N,Health Care,,,22.546670000000002,,3.6,
958,ALTR.OQ,Information Technology,,7.18220105987499,3.1,7.58524515361875,,33.35056848
959,GLUU.OQ,Communication Services,38.3,6.61978849940251,15.083329999999998,6.6102482529580495,15.0,
960,AMED.OQ,Health Care,18.9,5.43916478165146,22.3635,5.5927071414552705,16.9232,27.40569155
961,FNF.N,Financials,,7.73881260510401,16.66667,9.478905824625189,,12.799755613
962,EHC.N,Health Care,11.7,6.66064364658443,20.9445,8.18440704454637,3.3489999999999998,62.166146866999995
963,KALU.OQ,Materials,,6.19180810899449,10.423,9.03995629885001,-2.623,40.483334685
964,WLFC.OQ,Industrials,,3.42537522835568,,8.9749508700384,,75.773448772
965,NWPX.OQ,Industrials,,5.82051775751037,,6.10010496203816,,0.65692817
966,PSA.N,Real Estate,10.6,2.20026795557104,22.9,1.7768969414935702,,17.323486454
967,KTB.N,Consumer Discretionary,25.5,7.0069554412076105,126.98,9.955611335256972,-6.7,92.95879609100001
968,CLNY.N,Real Estate,,5.95665843263739,,13.025418003315101,,51.239789108000004
969,STAA.OQ,Health Care,13.6,7.29671625996781,5.9,7.17430933148018,,1.6927267469999998
970,ENTA.OQ,Health Care,,3.8553563357373797,-18.25,3.7854427438216605,,0.3235906087
971,NVRO.N,Health Care,,6.98184465630295,-19.62,7.351119008537509,,42.559179295999996
972,HNI.N,Industrials,4.6,7.22880728576735,14.3,7.9363905160337005,,23.479190019
973,SRGA.OQ,Health Care,,16.5572837645632,,15.823992497590199,,63.30233217399999
974,XNCR.OQ,Health Care,,6.19321029032478,,6.09575319635721,,0.0
975,ATNX.OQ,Health Care,,6.31535512726538,-36.0,6.554932897029281,,23.241277864
976,DIN.N,Consumer Discretionary,10.4,6.851107715307849,61.0,13.8785494038254,-3.105,120.572693747
977,ABBV.N,Health Care,,,74.435,,4.7666699999999995,
978,FFIV.OQ,Information Technology,44.6,7.76802351782183,28.3524,7.9704056387151505,6.0360000000000005,14.818113478299999
979,NRIX.OQ,Health Care,,7.16598043962715,-15.3,7.12431000784137,,
980,PLPC.OQ,Industrials,,6.347588134528401,,7.55654007104571,,19.672189986
981,NEM.N,Materials,13.54,2.62333582794161,12.94022,2.6668701565817003,45.648,23.363303819000002
982,LSXMA.OQ,Communication Services,,8.18864960443564,5.1015,9.003816987017279,9.63,36.182536887
983,LIVN.OQ,Health Care,11.85,6.00540448080417,6.16,6.6432728270494295,,19.61877332
984,MYGN.OQ,Health Care,,9.71877518221366,1.7,11.1181021724365,,19.639418869
985,HFFG.OQ,Consumer Staples,,8.50297782147156,,10.637314638807,,11.481360087999999
986,ESTE.N,Energy,,12.540860370597,,19.3299932439968,,16.926828105
987,WTFC.OQ,Financials,,8.41292427796069,7.31222,10.838590302864,,
988,MG.N,Industrials,0.4,14.1105036991152,3.6,14.111261241812901,,48.733216348999996
989,APPN.OQ,Information Technology,-16.1,12.4021616889001,-13.718670000000001,12.735081150114699,,1.8281920409999999
990,FC.N,Industrials,,10.777630361193301,,11.709087888627401,15.0,38.1348789295
991,SITE.N,Industrials,9.1,8.20182218271989,14.07,8.70347859952537,10.3,58.21466525
992,CCOI.OQ,Communication Services,38.0,1.8019860914558,-12.66933,1.8488195301989698,,126.883703127
993,KZR.OQ,Health Care,,9.730762685303429,,9.77820567227458,,0.0
994,MMAC.OQ,Financials,,3.8445492556704197,,5.22713532359008,,41.788955587
995,VREX.OQ,Health Care,,5.60256101604599,7.3,7.30885754197809,,49.4629488988
996,XEC.N,Energy,,10.3186871905989,27.206999999999997,16.8854399110185,20.811,35.478800455
997,CIEN.N,Information Technology,23.9,5.76238301125893,14.85,6.0946866472646395,8.9,22.9543079449
998,FNKO.OQ,Consumer Discretionary,7.15,6.71385998262508,11.7,8.83467681296131,,44.262576556999996
999,NLOK.OQ,Information Technology,11.15,4.85065584415528,14.0,5.4763074351218295,21.9,99.763649255
1000,BKR.N,Energy,4.7,9.564393864964359,5.82188,12.232431251886,,29.4995169082
1001,LOPE.OQ,Consumer Discretionary,,4.70049952831297,,4.77406181460437,,8.894367472999999
1002,PSMT.OQ,Consumer Staples,,6.44450804731722,9.8,6.79128865811217,,19.1461100938
1003,NYCB.N,Financials,,4.11773051233735,8.3355,7.60214620060133,,
1004,SABR.OQ,Information Technology,-2.9,7.087071073964231,-588.83,15.0961160796682,-21.865,77.94572754
1005,RNA.OQ,Health Care,,5.719547001455081,-39.965,5.77485185789426,,6.1482674170000005
1006,HSII.OQ,Industrials,,6.41774663451708,15.549000000000001,6.30078027891325,,0.0
1007,ARD.N,Materials,2.1,4.43333482420953,-20.133,6.412353787543809,0.5905,103.77524144
1008,CVLG.OQ,Industrials,,12.334722133157198,,12.286940965366302,,
1009,BRMK.N,Financials,,7.219056895109871,,7.24660938604645,,0.0
1010,VIRT.OQ,Financials,,0.8483831275037651,33.53667,-0.6824914488638161,,76.250149773
1011,OMER.OQ,Health Care,,8.04594966481684,,9.92007837103864,,309.817167052
1012,WSC.OQ,Industrials,5.85,8.243418943355191,9.6976,11.6121384243153,,69.722755584
1013,PRLD.OQ,Health Care,,7.101223104883701,-61.31,6.99357069712272,30.1,1.4922783273
1014,PKI.N,Health Care,15.0,7.20519295647768,14.2025,8.10751430071568,17.2,34.7642330149
1015,UI.N,Information Technology,,9.63292411070705,376.3,9.879608541043732,24.1,182.750681985
1016,PGEN.OQ,Health Care,,12.7911993320669,-68.9,15.640152502663698,,75.40977423
1017,ZUO.N,Information Technology,,8.74193192813113,-7.23,8.8184347931211,,6.008505294
1018,YMAB.OQ,Health Care,,8.885602292315859,-112.91,8.907120863669501,-88.6,0.0
1019,WM.N,Industrials,10.975,5.08319494595091,24.33375,5.831469476344861,4.38,65.62621548
1020,NSTG.OQ,Health Care,,10.8413718353177,-23.835,11.7985529641609,,43.427556463
1021,TRNO.N,Real Estate,,4.39110342428527,,4.689068470718031,,24.472319881
1022,APD.N,Materials,13.0975,5.3275112324828,18.4916,5.8605542774542405,9.675,38.8572495565
1023,PRTA.OQ,Health Care,,6.49624591311137,,6.322545467376469,,0.0
1024,WIFI.OQ,Communication Services,,8.62255455787213,,10.5261815220663,,64.304152252
1025,IEX.N,Industrials,19.1,7.4795079086542,18.2,7.81770226227468,11.5,29.135553542100002
1026,AFMD.OQ,Health Care,,15.7921218979017,,15.983444799700502,,7.614564916
1027,CPLG.N,Real Estate,,6.354709553008179,-18.65,12.0937646270077,,47.280122013
1028,VSEC.OQ,Industrials,,7.00541962786626,,10.4229805948808,,42.64822022
1029,DCO.N,Industrials,5.5,8.488639505545489,11.1,10.829400990193902,5.2,51.255812095
1030,ITI.OQ,Information Technology,,9.24967013151473,,9.33629784750227,,0.0
1031,VRSN.OQ,Information Technology,90.7,5.7454740480481306,-83.45,6.05235441965685,,600.93288286
1032,BDSI.OQ,Health Care,34.0,4.683432860773309,,5.35067801794746,,45.637876757
1033,OIS.N,Energy,,15.757280239149,-6.59,26.099111088163,,16.857749555999998
1034,GLOB.N,Information Technology,,6.308639710871709,12.58933,6.416215228321331,,20.445433329
1035,MRK.N,Health Care,,,50.455,,8.18333,
1036,AERI.OQ,Health Care,,4.23741131682843,,4.680650192614969,,53.05131312899999
1037,G.N,Information Technology,,7.80276598866777,18.66667,9.045299442331151,9.045,46.594925419
1038,BPYU.OQ,Real Estate,,2.6726702495535095,,11.3742260360621,,79.7344910693
1039,MCS.N,Communication Services,,7.66127357713379,4.1,12.8407219088335,,27.835870377
1040,SMBK.OQ,Financials,,5.26255551208077,6.74833,6.23596341326133,,
1041,LOCO.OQ,Consumer Discretionary,,9.41394901390356,,10.715413161615,,28.34018612
1042,KEX.N,Industrials,,7.61482993788611,,10.198596600952099,3.2,
1043,INBK.OQ,Financials,,5.26159040506468,11.65,5.96334690944278,,
1044,PAYC.N,Information Technology,23.8,9.9786868088774,26.97567,10.042756567467901,13.6515,5.835021573
1045,COHU.OQ,Information Technology,13.2,9.509857042942539,20.35,12.3458481544898,216.76,42.400984403
1046,AGS.N,Consumer Discretionary,-12.2,7.223712084295321,-102.41833000000001,21.7786507568429,,79.68386253199999
1047,LEN.N,Consumer Discretionary,11.96667,8.65600331213185,15.46475,10.432524873376199,,29.080316809099997
1048,CBT.N,Materials,8.0,8.591331481533981,24.7475,11.3918831305359,30.75,57.8019699326
1049,LJPC.OQ,Health Care,,16.621028819212302,,17.1671100335691,,
1050,IAA.N,Industrials,,9.55762198677221,,10.9147206578213,,111.665674688
1051,TCF.OQ,Financials,,10.1550539854107,8.283999999999999,13.110107670467801,-2.7,
1052,RMBI.OQ,Financials,,5.9839444060541,,6.010923865597941,,
1053,MRKR.OQ,Health Care,,,,,,
1054,FCPT.N,Real Estate,,5.358150088630991,10.5,6.787224038075791,,47.966572181000004
1055,CVGW.OQ,Consumer Staples,15.1,6.2586894996929,,6.3946680997696195,,9.7348128246
1056,KOS.N,Energy,,6.51269663752041,-25.3,24.896235397596804,,70.46416108
1057,MORF.OQ,Health Care,,5.44631068867864,,5.450570429375889,,0.0
1058,CLDR.N,Information Technology,,8.73747001036068,10.635,8.71165932199794,,0.0
1059,AVGO.OQ,Information Technology,17.3,6.23715695513188,31.698,7.498596112936929,7.9,63.2498499146
1060,IPHI.OQ,Information Technology,24.6,7.224548978682019,28.75667,7.5535708064879,,56.7275872489
1061,WYNN.OQ,Consumer Discretionary,7.75,9.589994515268721,-10.191,16.601597350827802,-1.099,
1062,CMCT.OQ,Real Estate,,5.96559644420434,,6.82001829051924,,49.38831116
1063,CDW.OQ,Information Technology,,6.90595426567876,90.772,7.907661232455009,9.8705,76.84070903199999
1064,TTC.N,Industrials,18.2,5.623967762759019,30.1,5.8987637809956395,11.6,41.5080450652
1065,MNR.N,Real Estate,,4.80367584255243,3.3,6.11737492525052,,45.735134762
1066,KIN.OQ,Health Care,-70.6,7.942978373720799,-23.9,8.43365017671943,,19.039195145999997
1067,OMCL.OQ,Health Care,,6.848004670242981,,7.341113603693299,15.0,32.5642780671
1068,BGSF.N,Industrials,,12.5774010294326,,16.6735957096502,,28.654085499
1069,CW.N,Industrials,,9.07768471379715,16.045,10.9858792379681,,30.329354484
1070,BSGM.OQ,Health Care,,9.147652494794821,,9.15716694251672,,0.0
1071,VTOL.N,Energy,,6.98152332621112,,9.783213537794381,,25.842863436
1072,HTA.N,Real Estate,,3.83578222673204,2.275,4.8699544702305095,,44.49172459
1073,ROP.N,Industrials,6.3,6.42909455324656,13.5,7.42222184827731,5.1,47.72202351560001
1074,GO.OQ,Consumer Staples,14.7,1.8923420626960001,10.8275,,15.76,37.85079535
1075,BEN.N,Financials,11.5,6.70668919622237,15.483329999999999,8.8369297675818,4.963,27.4199241154
